Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2001","2001","ha","3200","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2002","2002","ha","3592","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2003","2003","ha","3769","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2004","2004","ha","3787","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2005","2005","ha","4500","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2006","2006","ha","6500","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2007","2007","ha","7372","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2008","2008","ha","9594","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2009","2009","ha","25840","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2010","2010","ha","25881","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2011","2011","ha","27504","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2012","2012","ha","36030","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2013","2013","ha","44067","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2014","2014","ha","44108","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2015","2015","ha","44134","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2016","2016","ha","44103","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2017","2017","ha","40584","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2018","2018","ha","38556","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2019","2019","ha","35416","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2020","2020","ha","36212","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","2021","2021","ha","36794","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1961","1961","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1962","1962","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1963","1963","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1964","1964","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1965","1965","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1966","1966","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1967","1967","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1968","1968","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1969","1969","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1970","1970","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1971","1971","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1972","1972","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1973","1973","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1974","1974","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1975","1975","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1976","1976","100 g/ha","100000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1977","1977","100 g/ha","106667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1978","1978","100 g/ha","106667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1979","1979","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1980","1980","100 g/ha","120000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1981","1981","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1982","1982","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1983","1983","100 g/ha","120000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1984","1984","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1985","1985","100 g/ha","110000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1986","1986","100 g/ha","113333","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1987","1987","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1988","1988","100 g/ha","116667","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1989","1989","100 g/ha","113333","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1990","1990","100 g/ha","104609","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1991","1991","100 g/ha","117522","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1992","1992","100 g/ha","117291","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1993","1993","100 g/ha","117059","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1994","1994","100 g/ha","116828","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1995","1995","100 g/ha","116596","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1996","1996","100 g/ha","116365","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1997","1997","100 g/ha","116067","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1998","1998","100 g/ha","112451","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","1999","1999","100 g/ha","114286","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2000","2000","100 g/ha","125806","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2001","2001","100 g/ha","125000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2002","2002","100 g/ha","118672","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2003","2003","100 g/ha","116291","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2004","2004","100 g/ha","113404","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2005","2005","100 g/ha","111111","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2006","2006","100 g/ha","115385","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2007","2007","100 g/ha","111721","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2008","2008","100 g/ha","99460","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2009","2009","100 g/ha","112981","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2010","2010","100 g/ha","121079","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2011","2011","100 g/ha","118656","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2012","2012","100 g/ha","77964","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2013","2013","100 g/ha","108779","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2014","2014","100 g/ha","135839","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2015","2015","100 g/ha","141973","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2016","2016","100 g/ha","128872","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2017","2017","100 g/ha","139070","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2018","2018","100 g/ha","147751","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2019","2019","100 g/ha","162117","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2020","2020","100 g/ha","176083","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5419","Rendimiento","01318","Piña tropical","2021","2021","100 g/ha","180264","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1961","1961","toneladas","10000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1962","1962","toneladas","12000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1963","1963","toneladas","12000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1964","1964","toneladas","13000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1965","1965","toneladas","13000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1966","1966","toneladas","14000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1967","1967","toneladas","14000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1968","1968","toneladas","15000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1969","1969","toneladas","18000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1970","1970","toneladas","18000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1971","1971","toneladas","20000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1972","1972","toneladas","25000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1973","1973","toneladas","28000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1974","1974","toneladas","30000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1975","1975","toneladas","30000","E","Valor estimado"
